Metric,Band,Region,MeanDwellAbove_s_MODULATION,MeanDwellBelow_s_MODULATION,FracAbove_MODULATION,ACF_tau_1overE_s_MODULATION,ACF_tau_1overE_censored_MODULATION,ACF_half_life_s_MODULATION,ACF_half_life_censored_MODULATION,ACF_search_horizon_s_MODULATION,MeanDwellAbove_s_BASELINE_EC,MeanDwellBelow_s_BASELINE_EC,FracAbove_BASELINE_EC,ACF_tau_1overE_s_BASELINE_EC,ACF_tau_1overE_censored_BASELINE_EC,ACF_half_life_s_BASELINE_EC,ACF_half_life_censored_BASELINE_EC,ACF_search_horizon_s_BASELINE_EC,Delta_MeanDwellAbove_s,Delta_MeanDwellBelow_s,Delta_FracAbove,Delta_ACF_tau_1overE_s,Delta_ACF_tau_1overE_s_status,Delta_ACF_tau_1overE_s_bound_s,Delta_ACF_tau_1overE_s_plot,Delta_ACF_tau_1overE_s_label,Delta_ACF_half_life_s,Delta_ACF_half_life_s_status,Delta_ACF_half_life_s_bound_s,Delta_ACF_half_life_s_plot,Delta_ACF_half_life_s_label
Entropy,BetaL,Frontal,,1810.0,0.0,9.407329883413993,False,7.3426545252944875,False,120.0,14.836065573770492,14.596774193548388,0.5,6.641102924575932,False,5.180586712619072,False,120.0,,1795.4032258064517,-0.5,2.766226958838061,exact,,2.766226958838061,2.77,2.1620678126754154,exact,,2.1620678126754154,2.16
Entropy,BetaL,Temporal,6.5,158.63636363636363,0.03591160220994475,7.069188922252532,False,5.699696346316499,False,120.0,16.75925925925926,16.75925925925926,0.5,8.606640562447723,False,6.6473170832138075,False,120.0,-10.25925925925926,141.87710437710436,-0.46408839779005523,-1.537451640195191,exact,,-1.537451640195191,-1.54,-0.9476207368973082,exact,,-0.9476207368973082,-0.95
Entropy,BetaL,Central,12.352941176470589,40.88235294117647,0.23204419889502761,70.91407678361044,False,17.23060087184801,False,120.0,19.25531914893617,19.25531914893617,0.5,9.52866364314503,False,7.628452810118523,False,120.0,-6.902377972465581,21.6270337922403,-0.2679558011049724,61.38541314046541,exact,,61.38541314046541,61.39,9.602148061729489,exact,,9.602148061729489,9.60
Entropy,BetaL,Parietal,10.416666666666666,62.4,0.13812154696132597,11.863697196328664,False,8.300021572123676,False,120.0,18.854166666666668,18.854166666666668,0.5,9.890959241336759,False,7.756995190983984,False,120.0,-8.437500000000002,43.545833333333334,-0.36187845303867405,1.9727379549919046,exact,,1.9727379549919046,1.97,0.5430263811396916,exact,,0.5430263811396916,0.54
Entropy,BetaL,Occipital,10.0,46.5625,0.17679558011049723,88.69492418600308,False,9.739802309895934,False,120.0,26.61764705882353,26.61764705882353,0.5,115.95382436857876,False,28.109546764963078,False,120.0,-16.61764705882353,19.94485294117647,-0.32320441988950277,-27.258900182575687,exact,,-27.258900182575687,-27.26,-18.369744455067142,exact,,-18.369744455067142,-18.37
Entropy,BetaH,Frontal,5.0,600.0,0.0055248618784530384,29.25433567409673,False,21.09987912415457,False,120.0,14.836065573770492,15.083333333333334,0.5,5.920415314436341,False,4.635417009534765,False,120.0,-9.836065573770492,584.9166666666666,-0.494475138121547,23.33392035966039,exact,,23.33392035966039,23.33,16.464462114619803,exact,,16.464462114619803,16.46
Entropy,BetaH,Temporal,7.5,252.14285714285714,0.024861878453038673,7.694591764371491,False,6.262074252120265,False,120.0,18.46938775510204,18.46938775510204,0.5,8.548417264438505,False,6.860620514754546,False,120.0,-10.96938775510204,233.6734693877551,-0.47513812154696133,-0.8538255000670141,exact,,-0.8538255000670141,-0.85,-0.5985462626342803,exact,,-0.5985462626342803,-0.60
Entropy,BetaH,Central,23.636363636363637,31.21212121212121,0.430939226519337,,True,,True,120.0,19.25531914893617,18.854166666666668,0.5,9.912741544116324,False,7.789303743763741,False,120.0,4.3810444874274665,12.357954545454543,-0.06906077348066297,,lower_bound,110.08725845588367,110.08725845588367,>+110.09,,lower_bound,112.21069625623626,112.21069625623626,>+112.21
Entropy,BetaH,Parietal,10.6,61.8,0.1464088397790055,,True,,True,120.0,16.75925925925926,16.75925925925926,0.5,8.065567055312123,False,6.441751088895149,False,120.0,-6.15925925925926,45.04074074074074,-0.35359116022099446,,lower_bound,111.93443294468787,111.93443294468787,>+111.93,,lower_bound,113.55824891110485,113.55824891110485,>+113.56
Entropy,BetaH,Occipital,13.0,152.72727272727272,0.0718232044198895,37.64404561326002,False,12.261444799314344,False,120.0,56.5625,56.5625,0.5,,True,,True,120.0,-43.5625,96.16477272727272,-0.4281767955801105,,upper_bound,-82.35595438673998,-82.35595438673998,<-82.36,,upper_bound,-107.73855520068565,-107.73855520068565,<-107.74
Entropy,Gamma,Frontal,6.666666666666667,252.85714285714286,0.022099447513812154,34.45140550307422,False,23.723902142167205,False,120.0,18.46938775510204,18.1,0.5,7.633430926006395,False,6.073046838157695,False,120.0,-11.802721088435373,234.75714285714287,-0.47790055248618785,26.817974577067826,exact,,26.817974577067826,26.82,17.65085530400951,exact,,17.65085530400951,17.65
Entropy,Gamma,Temporal,18.4375,89.11764705882354,0.16298342541436464,44.204933783390544,False,12.80572079722409,False,120.0,21.547619047619047,21.547619047619047,0.5,8.391277363270902,False,6.737213977262973,False,120.0,-3.1101190476190474,67.57002801120449,-0.3370165745856354,35.81365642011964,exact,,35.81365642011964,35.81,6.068506819961117,exact,,6.068506819961117,6.07
Entropy,Gamma,Central,900.0,10.0,0.994475138121547,7.582960587299061,False,6.120299494998871,False,120.0,18.854166666666668,19.25531914893617,0.5,9.993086572895713,False,7.9424485421298225,False,120.0,881.1458333333334,-9.25531914893617,0.494475138121547,-2.410125985596652,exact,,-2.410125985596652,-2.41,-1.8221490471309512,exact,,-1.8221490471309512,-1.82
Entropy,Gamma,Parietal,18.953488372093023,23.69047619047619,0.45027624309392267,79.56551843109331,False,14.608022735178457,False,120.0,36.2,36.2,0.5,,True,,True,120.0,-17.24651162790698,-12.509523809523813,-0.04972375690607733,,upper_bound,-40.43448156890669,-40.43448156890669,<-40.43,,upper_bound,-105.39197726482155,-105.39197726482155,<-105.39
Entropy,Gamma,Occipital,38.57142857142857,220.0,0.14917127071823205,,True,76.81716644403953,False,120.0,90.5,100.55555555555556,0.5,,True,,True,120.0,-51.92857142857143,119.44444444444444,-0.35082872928176795,,both_censored_indeterminate,,,indet.,,upper_bound,-43.18283355596047,-43.18283355596047,<-43.18
