t_mid_s,Session,Band,Region,Value
260.0,MODULATION,Theta,Central,5.134947586871341
270.0,MODULATION,Theta,Central,5.203355851127099
280.0,MODULATION,Theta,Central,5.2822236372332485
290.0,MODULATION,Theta,Central,5.171499833174964
300.0,MODULATION,Theta,Central,5.193742042970332
310.0,MODULATION,Theta,Central,5.206373117966455
320.0,MODULATION,Theta,Central,5.560007755002744
330.0,MODULATION,Theta,Central,5.44440369263212
340.0,MODULATION,Theta,Central,5.459137370227443
350.0,MODULATION,Theta,Central,5.474669828848319
360.0,MODULATION,Theta,Central,5.372327775300875
370.0,MODULATION,Theta,Central,5.667948430201824
380.0,MODULATION,Theta,Central,5.638418868107895
390.0,MODULATION,Theta,Central,5.418819400525701
400.0,MODULATION,Theta,Central,5.308562744460024
410.0,MODULATION,Theta,Central,5.330330775866681
420.0,MODULATION,Theta,Central,5.390376299286665
430.0,MODULATION,Theta,Central,4.716876751090034
440.0,MODULATION,Theta,Central,4.750479514229859
450.0,MODULATION,Theta,Central,4.743038578186047
460.0,MODULATION,Theta,Central,4.912076900060865
470.0,MODULATION,Theta,Central,4.993555880506048
480.0,MODULATION,Theta,Central,4.99132493605159
490.0,MODULATION,Theta,Central,5.067413677859115
500.0,MODULATION,Theta,Central,5.217216323574503
510.0,MODULATION,Theta,Central,5.109923528372334
520.0,MODULATION,Theta,Central,5.03268124130289
530.0,MODULATION,Theta,Central,5.196989665041052
540.0,MODULATION,Theta,Central,5.073520339783319
550.0,MODULATION,Theta,Central,5.045737275224933
560.0,MODULATION,Theta,Central,4.876114239341967
570.0,MODULATION,Theta,Central,4.8777721725136525
580.0,MODULATION,Theta,Central,4.858100670502278
590.0,MODULATION,Theta,Central,4.857490802381816
600.0,MODULATION,Theta,Central,5.103079012793075
610.0,MODULATION,Theta,Central,5.069032310469166
620.0,MODULATION,Theta,Central,5.161054322195383
630.0,MODULATION,Theta,Central,4.984008544134126
640.0,MODULATION,Theta,Central,4.991417568979089
650.0,MODULATION,Theta,Central,5.084689281594312
660.0,MODULATION,Theta,Central,5.017696473064562
670.0,MODULATION,Theta,Central,5.065181979907984
680.0,MODULATION,Theta,Central,5.159597425190996
690.0,MODULATION,Theta,Central,5.397875587584386
700.0,MODULATION,Theta,Central,5.4458358286702
710.0,MODULATION,Theta,Central,5.344462320192495
720.0,MODULATION,Theta,Central,5.377778510485132
730.0,MODULATION,Theta,Central,5.365151423822701
740.0,MODULATION,Theta,Central,5.535044380147136
750.0,MODULATION,Theta,Central,4.833118237607127
760.0,MODULATION,Theta,Central,4.9542200720091785
770.0,MODULATION,Theta,Central,5.112490377429963
780.0,MODULATION,Theta,Central,5.189805214801988
790.0,MODULATION,Theta,Central,5.320878681863688
800.0,MODULATION,Theta,Central,5.370880109854547
810.0,MODULATION,Theta,Central,5.402045908582463
820.0,MODULATION,Theta,Central,5.291284557135077
830.0,MODULATION,Theta,Central,5.2293870951794
840.0,MODULATION,Theta,Central,5.137221767624186
850.0,MODULATION,Theta,Central,5.147024693868139
860.0,MODULATION,Theta,Central,4.576495121727502
870.0,MODULATION,Theta,Central,4.545282978014173
880.0,MODULATION,Theta,Central,4.657374753390898
890.0,MODULATION,Theta,Central,4.665964987956717
900.0,MODULATION,Theta,Central,4.847354001420906
910.0,MODULATION,Theta,Central,4.898976510206898
920.0,MODULATION,Theta,Central,5.20066949338596
930.0,MODULATION,Theta,Central,5.189565434988945
940.0,MODULATION,Theta,Central,5.334956281966547
950.0,MODULATION,Theta,Central,5.3659015443221145
960.0,MODULATION,Theta,Central,5.326614922325569
970.0,MODULATION,Theta,Central,5.34830930595847
980.0,MODULATION,Theta,Central,5.2481891894091
990.0,MODULATION,Theta,Central,5.237445331201211
1000.0,MODULATION,Theta,Central,5.147343619668181
1010.0,MODULATION,Theta,Central,5.087846795072566
1020.0,MODULATION,Theta,Central,5.379777676377402
1030.0,MODULATION,Theta,Central,5.344393403918465
1040.0,MODULATION,Theta,Central,5.3768742127105265
1050.0,MODULATION,Theta,Central,5.325192776360463
1060.0,MODULATION,Theta,Central,5.240015603622931
1070.0,MODULATION,Theta,Central,5.21257449711099
1080.0,MODULATION,Theta,Central,5.288366598684875
1090.0,MODULATION,Theta,Central,5.066546683291488
1100.0,MODULATION,Theta,Central,5.1298784377667515
1110.0,MODULATION,Theta,Central,5.084455262013975
1120.0,MODULATION,Theta,Central,4.779558999112257
1130.0,MODULATION,Theta,Central,4.850183957512356
1140.0,MODULATION,Theta,Central,4.8339842338651025
1150.0,MODULATION,Theta,Central,4.65683539931561
1160.0,MODULATION,Theta,Central,4.523063402387526
1170.0,MODULATION,Theta,Central,4.536994860927732
1180.0,MODULATION,Theta,Central,4.520883276181701
1190.0,MODULATION,Theta,Central,5.322324022195689
1200.0,MODULATION,Theta,Central,5.3900425438973425
1210.0,MODULATION,Theta,Central,5.447312423533164
1220.0,MODULATION,Theta,Central,5.478191085977366
1230.0,MODULATION,Theta,Central,5.362980221843291
1240.0,MODULATION,Theta,Central,5.323881043659424
1250.0,MODULATION,Theta,Central,5.351462820985309
1260.0,MODULATION,Theta,Central,5.288902015873764
1270.0,MODULATION,Theta,Central,5.247319981137732
1280.0,MODULATION,Theta,Central,5.304192741660811
1290.0,MODULATION,Theta,Central,5.4485260301948575
1300.0,MODULATION,Theta,Central,5.4993647538239365
1310.0,MODULATION,Theta,Central,5.527235657225517
1320.0,MODULATION,Theta,Central,5.3670371257214535
1330.0,MODULATION,Theta,Central,5.349404953077954
1340.0,MODULATION,Theta,Central,5.312236760928058
1350.0,MODULATION,Theta,Central,5.304358613926842
1360.0,MODULATION,Theta,Central,5.295761883490356
