Representation,Level,Band,Channel,Feature,Window_Length_s,Entropy_Bins,Baseline_Median_Entropy_bits,Modulation_Median_Entropy_bits,Delta_Entropy_ModMinusBase_bits,Delta_Sign,Baseline_N_Valid_Windows,Modulation_N_Valid_Windows,Entropy_Definition
FFT-derived POW,Band,Gamma,ALL_CHANNELS_MEDIAN,BandMedian.Gamma,10,64,3.793019347,3.203228249,-0.5897910979,negative,181,181,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Band,Gamma,ALL_CHANNELS_MEDIAN,BandMedian.Gamma,30,16,2.163610964,1.627064952,-0.5365460124,negative,60,60,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Band,Gamma,ALL_CHANNELS_MEDIAN,BandMedian.Gamma,30,32,3.080241362,2.473464349,-0.6067770122,negative,60,60,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Band,Gamma,ALL_CHANNELS_MEDIAN,BandMedian.Gamma,30,64,4.03625112,3.434863789,-0.6013873311,negative,60,60,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Band,Gamma,ALL_CHANNELS_MEDIAN,BandMedian.Gamma,60,16,2.241689949,1.733421139,-0.5082688099,negative,30,30,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Band,Gamma,ALL_CHANNELS_MEDIAN,BandMedian.Gamma,60,32,3.183858354,2.647028967,-0.5368293865,negative,30,30,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Band,Gamma,ALL_CHANNELS_MEDIAN,BandMedian.Gamma,60,64,4.14907826,3.614575588,-0.5345026718,negative,30,30,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Band,Gamma,ALL_CHANNELS_MEDIAN,BandMedian.Gamma,120,16,2.230368085,1.705428235,-0.5249398501,negative,15,15,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Band,Gamma,ALL_CHANNELS_MEDIAN,BandMedian.Gamma,120,32,3.185993962,2.610520322,-0.5754736403,negative,15,15,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Band,Gamma,ALL_CHANNELS_MEDIAN,BandMedian.Gamma,120,64,4.164928748,3.570119564,-0.5948091839,negative,15,15,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
