Representation,Level,Band,Channel,Feature,Window_Length_s,Entropy_Bins,Baseline_Median_Entropy_bits,Modulation_Median_Entropy_bits,Delta_Entropy_ModMinusBase_bits,Delta_Sign,Baseline_N_Valid_Windows,Modulation_N_Valid_Windows,Entropy_Definition
FFT-derived POW,Feature,Gamma,P7,POW.P7.Gamma,30,16,0,0,0,zero,60,60,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Gamma,P7,POW.P7.Gamma,30,32,0.1341929236,0,-0.1341929236,negative,60,60,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Gamma,P7,POW.P7.Gamma,30,64,1.026983723,0.09694460606,-0.9300391165,negative,60,60,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Gamma,P7,POW.P7.Gamma,60,16,0,0,0,zero,30,30,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Gamma,P7,POW.P7.Gamma,60,32,0.1033906539,0,-0.1033906539,negative,30,30,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Gamma,P7,POW.P7.Gamma,60,64,1.054332855,0.09668979504,-0.9576430595,negative,30,30,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Gamma,P7,POW.P7.Gamma,120,16,0,0,0,zero,15,15,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Gamma,P7,POW.P7.Gamma,120,32,0.1631227491,0,-0.1631227491,negative,15,15,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Gamma,P7,POW.P7.Gamma,120,64,1.07377151,0.1222915971,-0.9514799134,negative,15,15,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Theta,PO9,POW.PO9.Theta,10,16,0,0,0,zero,181,181,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Theta,PO9,POW.PO9.Theta,10,32,0.5435644432,0.1686609315,-0.3749035117,negative,181,181,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Theta,PO9,POW.PO9.Theta,10,64,1.436062804,1.042834342,-0.3932284623,negative,181,181,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Theta,PO9,POW.PO9.Theta,30,16,0.09694460606,0,-0.09694460606,negative,60,60,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Theta,PO9,POW.PO9.Theta,30,32,0.6521915956,0.2774116612,-0.3747799344,negative,60,60,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Theta,PO9,POW.PO9.Theta,30,64,1.599440507,1.141904883,-0.4575356233,negative,60,60,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Theta,PO9,POW.PO9.Theta,60,16,0.1514008701,0,-0.1514008701,negative,30,30,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Theta,PO9,POW.PO9.Theta,60,32,0.6900076918,0.2863969571,-0.4036107347,negative,30,30,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Theta,PO9,POW.PO9.Theta,60,64,1.669123155,1.175496942,-0.4936262132,negative,30,30,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Theta,PO9,POW.PO9.Theta,120,16,0.2006223243,0.03890980645,-0.1617125179,negative,15,15,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Theta,PO9,POW.PO9.Theta,120,32,0.7942210658,0.3283316724,-0.4658893934,negative,15,15,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Theta,PO9,POW.PO9.Theta,120,64,1.721887733,1.21070467,-0.5111830624,negative,15,15,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Alpha,PO9,POW.PO9.Alpha,10,16,2.534024167,1.584701533,-0.9493226337,negative,181,181,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Alpha,PO9,POW.PO9.Alpha,10,32,3.395924536,2.420487269,-0.975437267,negative,181,181,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Alpha,PO9,POW.PO9.Alpha,10,64,4.188191211,3.27266413,-0.9155270805,negative,181,181,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Alpha,PO9,POW.PO9.Alpha,30,16,2.767417943,1.776422579,-0.9909953641,negative,60,60,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Alpha,PO9,POW.PO9.Alpha,30,32,3.70784853,2.663157733,-1.044690797,negative,60,60,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Alpha,PO9,POW.PO9.Alpha,30,64,4.633691121,3.574447097,-1.059244024,negative,60,60,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Alpha,PO9,POW.PO9.Alpha,60,16,2.854088239,1.899699904,-0.9543883354,negative,30,30,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Alpha,PO9,POW.PO9.Alpha,60,32,3.818685351,2.774269972,-1.044415379,negative,30,30,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Alpha,PO9,POW.PO9.Alpha,60,64,4.762600507,3.714653437,-1.04794707,negative,30,30,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Alpha,PO9,POW.PO9.Alpha,120,16,2.88028361,1.913526574,-0.9667570353,negative,15,15,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Alpha,PO9,POW.PO9.Alpha,120,32,3.790935461,2.841761879,-0.9491735825,negative,15,15,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Alpha,PO9,POW.PO9.Alpha,120,64,4.743925304,3.798633808,-0.9452914955,negative,15,15,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,BetaL,PO9,POW.PO9.BetaL,10,16,2.228972473,1.675560757,-0.5534117153,negative,181,181,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,BetaL,PO9,POW.PO9.BetaL,10,32,3.117704694,2.479560727,-0.638143967,negative,181,181,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,BetaL,PO9,POW.PO9.BetaL,10,64,3.969030429,3.362881359,-0.6061490694,negative,181,181,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,BetaL,PO9,POW.PO9.BetaL,30,16,2.471416224,1.798705551,-0.6727106731,negative,60,60,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,BetaL,PO9,POW.PO9.BetaL,30,32,3.390408006,2.67548181,-0.7149261958,negative,60,60,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,BetaL,PO9,POW.PO9.BetaL,30,64,4.313164537,3.60715426,-0.706010277,negative,60,60,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,BetaL,PO9,POW.PO9.BetaL,60,16,2.559500234,1.815342527,-0.7441577068,negative,30,30,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,BetaL,PO9,POW.PO9.BetaL,60,32,3.498728961,2.713848581,-0.7848803802,negative,30,30,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,BetaL,PO9,POW.PO9.BetaL,60,64,4.44641541,3.66474589,-0.78166952,negative,30,30,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,BetaL,PO9,POW.PO9.BetaL,120,16,2.613457393,1.84588918,-0.7675682136,negative,15,15,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,BetaL,PO9,POW.PO9.BetaL,120,32,3.551162738,2.756737325,-0.7944254126,negative,15,15,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,BetaL,PO9,POW.PO9.BetaL,120,64,4.523037147,3.716304584,-0.806732563,negative,15,15,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,BetaH,PO9,POW.PO9.BetaH,10,16,1.965210598,1.34804535,-0.6171652476,negative,181,181,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,BetaH,PO9,POW.PO9.BetaH,10,32,2.822168655,2.133876164,-0.6882924909,negative,181,181,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,BetaH,PO9,POW.PO9.BetaH,10,64,3.692328378,3.024704509,-0.6676238692,negative,181,181,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,BetaH,PO9,POW.PO9.BetaH,30,16,2.118551817,1.434712372,-0.6838394442,negative,60,60,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,BetaH,PO9,POW.PO9.BetaH,30,32,3.041467279,2.267815904,-0.7736513758,negative,60,60,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,BetaH,PO9,POW.PO9.BetaH,30,64,3.98130507,3.198063896,-0.7832411737,negative,60,60,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,BetaH,PO9,POW.PO9.BetaH,60,16,2.184300127,1.488407064,-0.6958930639,negative,30,30,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,BetaH,PO9,POW.PO9.BetaH,60,32,3.106245204,2.337182726,-0.769062478,negative,30,30,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,BetaH,PO9,POW.PO9.BetaH,60,64,4.073631263,3.273618292,-0.8000129704,negative,30,30,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,BetaH,PO9,POW.PO9.BetaH,120,16,2.153792232,1.542859653,-0.6109325794,negative,15,15,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,BetaH,PO9,POW.PO9.BetaH,120,32,3.095309866,2.358976297,-0.7363335698,negative,15,15,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,BetaH,PO9,POW.PO9.BetaH,120,64,4.067283428,3.321039122,-0.7462443064,negative,15,15,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Gamma,PO9,POW.PO9.Gamma,10,16,1.036658748,0.5776539034,-0.4590048447,negative,181,181,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Gamma,PO9,POW.PO9.Gamma,10,32,1.755030225,1.207760728,-0.5472694966,negative,181,181,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Gamma,PO9,POW.PO9.Gamma,10,64,2.607984807,1.930150208,-0.6778345989,negative,181,181,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Gamma,PO9,POW.PO9.Gamma,30,16,1.130682861,0.6948955535,-0.4357873073,negative,60,60,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Gamma,PO9,POW.PO9.Gamma,30,32,1.922782481,1.328303572,-0.5944789089,negative,60,60,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Gamma,PO9,POW.PO9.Gamma,30,64,2.823725437,2.125659459,-0.6980659781,negative,60,60,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Gamma,PO9,POW.PO9.Gamma,60,16,1.15602818,0.7351769206,-0.4208512589,negative,30,30,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Gamma,PO9,POW.PO9.Gamma,60,32,1.911878743,1.455680606,-0.4561981371,negative,30,30,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Gamma,PO9,POW.PO9.Gamma,60,64,2.834576862,2.238284052,-0.5962928095,negative,30,30,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Gamma,PO9,POW.PO9.Gamma,120,16,1.160987036,0.8391105496,-0.3218764865,negative,15,15,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Gamma,PO9,POW.PO9.Gamma,120,32,2.022588425,1.439548127,-0.583040298,negative,15,15,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Gamma,PO9,POW.PO9.Gamma,120,64,2.953374086,2.253859769,-0.6995143173,negative,15,15,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Theta,O1,POW.O1.Theta,10,16,0,0,0,zero,181,181,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Theta,O1,POW.O1.Theta,10,32,0.6189070204,0,-0.6189070204,negative,181,181,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Theta,O1,POW.O1.Theta,10,64,1.44721833,0.6962122601,-0.7510060698,negative,181,181,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Theta,O1,POW.O1.Theta,30,16,0.08323712653,0,-0.08323712653,negative,60,60,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Theta,O1,POW.O1.Theta,30,32,0.7239822955,0.09694460606,-0.6270376895,negative,60,60,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Theta,O1,POW.O1.Theta,30,64,1.632130278,0.7787184274,-0.853411851,negative,60,60,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Theta,O1,POW.O1.Theta,60,16,0.1160641494,0,-0.1160641494,negative,30,30,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Theta,O1,POW.O1.Theta,60,32,0.6831774445,0.1098367018,-0.5733407427,negative,30,30,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Theta,O1,POW.O1.Theta,60,64,1.62568689,0.7769794496,-0.84870744,negative,30,30,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Theta,O1,POW.O1.Theta,120,16,0.1273092475,0,-0.1273092475,negative,15,15,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Theta,O1,POW.O1.Theta,120,32,0.6951359767,0.1161150753,-0.5790209014,negative,15,15,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Theta,O1,POW.O1.Theta,120,64,1.643329056,0.8528688154,-0.7904602402,negative,15,15,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Alpha,O1,POW.O1.Alpha,10,16,2.456759809,2.222969248,-0.2337905612,negative,181,181,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Alpha,O1,POW.O1.Alpha,10,32,3.303014854,3.072933141,-0.2300817129,negative,181,181,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Alpha,O1,POW.O1.Alpha,10,64,4.089622627,3.905475128,-0.1841474989,negative,181,181,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Alpha,O1,POW.O1.Alpha,30,16,2.696011578,2.501416399,-0.1945951789,negative,60,60,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Alpha,O1,POW.O1.Alpha,30,32,3.622755704,3.416738139,-0.2060175653,negative,60,60,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Alpha,O1,POW.O1.Alpha,30,64,4.52881722,4.328002493,-0.200814727,negative,60,60,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Alpha,O1,POW.O1.Alpha,60,16,2.900139159,2.591845916,-0.3082932438,negative,30,30,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Alpha,O1,POW.O1.Alpha,60,32,3.838010322,3.519614959,-0.3183953634,negative,30,30,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Alpha,O1,POW.O1.Alpha,60,64,4.795305314,4.484455471,-0.3108498427,negative,30,30,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Alpha,O1,POW.O1.Alpha,120,16,2.816490323,2.623496666,-0.192993657,negative,15,15,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Alpha,O1,POW.O1.Alpha,120,32,3.763641383,3.581021457,-0.1826199263,negative,15,15,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Alpha,O1,POW.O1.Alpha,120,64,4.698955968,4.561336587,-0.1376193812,negative,15,15,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,BetaL,O1,POW.O1.BetaL,10,16,0.6402569437,0.2863969571,-0.3538599866,negative,181,181,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,BetaL,O1,POW.O1.BetaL,10,32,1.455060468,1.140907999,-0.314152469,negative,181,181,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,BetaL,O1,POW.O1.BetaL,10,64,2.243674538,1.923142256,-0.3205322821,negative,181,181,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,BetaL,O1,POW.O1.BetaL,30,16,0.738857741,0.3285995008,-0.4102582402,negative,60,60,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,BetaL,O1,POW.O1.BetaL,30,32,1.633419605,1.212551398,-0.4208682074,negative,60,60,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,BetaL,O1,POW.O1.BetaL,30,64,2.424374687,2.07796735,-0.3464073366,negative,60,60,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,BetaL,O1,POW.O1.BetaL,60,16,0.7145015706,0.2993017507,-0.4151998199,negative,30,30,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,BetaL,O1,POW.O1.BetaL,60,32,1.654556516,1.21079076,-0.4437657558,negative,30,30,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,BetaL,O1,POW.O1.BetaL,60,64,2.477348351,2.089170244,-0.3881781071,negative,30,30,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,BetaL,O1,POW.O1.BetaL,120,16,0.7289817395,0.2863969571,-0.4425847823,negative,15,15,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,BetaL,O1,POW.O1.BetaL,120,32,1.64219872,1.21663939,-0.4255593303,negative,15,15,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,BetaL,O1,POW.O1.BetaL,120,64,2.506409282,2.142705372,-0.3637039105,negative,15,15,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,BetaH,O1,POW.O1.BetaH,10,16,0.9995491108,0.8112781245,-0.1882709864,negative,181,181,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,BetaH,O1,POW.O1.BetaH,10,32,1.748193613,1.39992357,-0.3482700436,negative,181,181,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,BetaH,O1,POW.O1.BetaH,10,64,2.503347927,2.177330781,-0.3260171457,negative,181,181,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,BetaH,O1,POW.O1.BetaH,30,16,1.120426646,0.8412405655,-0.2791860809,negative,60,60,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,BetaH,O1,POW.O1.BetaH,30,32,1.87807375,1.526872953,-0.351200797,negative,60,60,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,BetaH,O1,POW.O1.BetaH,30,64,2.750091102,2.403397292,-0.3466938102,negative,60,60,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,BetaH,O1,POW.O1.BetaH,60,16,1.140242369,0.9337623912,-0.2064799779,negative,30,30,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,BetaH,O1,POW.O1.BetaH,60,32,1.915759275,1.588301912,-0.3274573634,negative,30,30,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,BetaH,O1,POW.O1.BetaH,60,64,2.746882936,2.477301861,-0.2695810752,negative,30,30,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,BetaH,O1,POW.O1.BetaH,120,16,1.153574547,0.8517572498,-0.3018172967,negative,15,15,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,BetaH,O1,POW.O1.BetaH,120,32,1.9388359,1.706313904,-0.2325219967,negative,15,15,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,BetaH,O1,POW.O1.BetaH,120,64,2.855127422,2.580060687,-0.2750667347,negative,15,15,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Gamma,O1,POW.O1.Gamma,10,16,0.9154478739,0.5776539034,-0.3377939705,negative,181,181,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Gamma,O1,POW.O1.Gamma,10,32,1.307361006,1.198192411,-0.1091685947,negative,181,181,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Gamma,O1,POW.O1.Gamma,10,64,2.080754003,1.933945991,-0.1468080117,negative,181,181,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Gamma,O1,POW.O1.Gamma,30,16,0.9496940217,0.7654395288,-0.1842544929,negative,60,60,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Gamma,O1,POW.O1.Gamma,30,32,1.409993944,1.413229278,0.003235334451,positive,60,60,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Gamma,O1,POW.O1.Gamma,30,64,2.219887898,2.23772045,0.01783255183,positive,60,60,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Gamma,O1,POW.O1.Gamma,60,16,0.9770091674,0.8782782405,-0.09873092685,negative,30,30,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
