Representation,Level,Band,Channel,Feature,Window_Length_s,Baseline_Median_LZC,Modulation_Median_LZC,Delta_LZC_ModMinusBase,Baseline_N_Windows,Modulation_N_Windows,Baseline_Sequence_Length_Min,Baseline_Sequence_Length_Median,Baseline_Sequence_Length_Max,Modulation_Sequence_Length_Min,Modulation_Sequence_Length_Median,Modulation_Sequence_Length_Max,Baseline_Distinct_LZC_Values,Modulation_Distinct_LZC_Values,LZC_Normalization
FFT-derived POW,Feature,Gamma,Cz,POW.Cz.Gamma,10,0.6321928095,0.6321928095,0,181,181,80,80,81,80,80,81,10,10,c(n)*log2(n)/n; not assumed bounded 0..1
FFT-derived POW,Feature,Gamma,Cz,POW.Cz.Gamma,30,0.5271260397,0.4941806622,-0.03294537748,60,60,240,240,241,240,240,241,11,11,c(n)*log2(n)/n; not assumed bounded 0..1
FFT-derived POW,Feature,Gamma,Cz,POW.Cz.Gamma,60,0.4639005519,0.463496354,-0.0004041978668,30,30,480,480,481,480,480,481,14,11,c(n)*log2(n)/n; not assumed bounded 0..1
FFT-derived POW,Feature,Gamma,Cz,POW.Cz.Gamma,120,0.4334264636,0.4433515949,0.009925131336,15,15,960,960,961,960,960,961,10,10,c(n)*log2(n)/n; not assumed bounded 0..1
FFT-derived POW,Feature,Theta,Fz,POW.Fz.Theta,10,0.6321928095,0.6321928095,0,181,181,80,80,81,80,80,81,11,10,c(n)*log2(n)/n; not assumed bounded 0..1
FFT-derived POW,Feature,Theta,Fz,POW.Fz.Theta,30,0.4941806622,0.510653351,0.01647268874,60,60,240,240,241,240,240,241,11,11,c(n)*log2(n)/n; not assumed bounded 0..1
FFT-derived POW,Feature,Theta,Fz,POW.Fz.Theta,60,0.4824565739,0.4731785629,-0.009278011037,30,30,480,480,481,480,480,481,10,12,c(n)*log2(n)/n; not assumed bounded 0..1
FFT-derived POW,Feature,Theta,Fz,POW.Fz.Theta,120,0.4433515949,0.4643854967,0.02103390178,15,15,960,960,961,960,960,961,11,8,c(n)*log2(n)/n; not assumed bounded 0..1
FFT-derived POW,Feature,Alpha,Fz,POW.Fz.Alpha,10,0.6321928095,0.6321928095,0,181,181,80,80,81,80,80,81,9,11,c(n)*log2(n)/n; not assumed bounded 0..1
FFT-derived POW,Feature,Alpha,Fz,POW.Fz.Alpha,30,0.4777079735,0.4612352847,-0.01647268874,60,60,240,240,241,240,240,241,13,13,c(n)*log2(n)/n; not assumed bounded 0..1
FFT-derived POW,Feature,Alpha,Fz,POW.Fz.Alpha,60,0.4360665187,0.4453445298,0.009278011037,30,30,480,480,481,480,480,481,11,13,c(n)*log2(n)/n; not assumed bounded 0..1
FFT-derived POW,Feature,Alpha,Fz,POW.Fz.Alpha,120,0.4231067859,0.4231067859,0,15,15,960,960,961,960,960,961,12,9,c(n)*log2(n)/n; not assumed bounded 0..1
FFT-derived POW,Feature,BetaL,Fz,POW.Fz.BetaL,10,0.5531687083,0.6321928095,0.07902410119,181,181,80,80,81,80,80,81,10,10,c(n)*log2(n)/n; not assumed bounded 0..1
FFT-derived POW,Feature,BetaL,Fz,POW.Fz.BetaL,30,0.4941806622,0.5271260397,0.03294537748,60,60,240,240,241,240,240,241,11,13,c(n)*log2(n)/n; not assumed bounded 0..1
FFT-derived POW,Feature,BetaL,Fz,POW.Fz.BetaL,60,0.4453445298,0.4824565739,0.03711204415,30,30,480,480,481,480,480,481,11,12,c(n)*log2(n)/n; not assumed bounded 0..1
FFT-derived POW,Feature,BetaL,Fz,POW.Fz.BetaL,120,0.4231067859,0.4437461413,0.02063935541,15,15,960,960,961,960,960,961,10,9,c(n)*log2(n)/n; not assumed bounded 0..1
FFT-derived POW,Feature,BetaH,Fz,POW.Fz.BetaH,10,0.6321928095,0.6321928095,0,181,181,80,80,81,80,80,81,9,11,c(n)*log2(n)/n; not assumed bounded 0..1
FFT-derived POW,Feature,BetaH,Fz,POW.Fz.BetaH,30,0.4941806622,0.4941806622,0,60,60,240,240,241,240,240,241,11,13,c(n)*log2(n)/n; not assumed bounded 0..1
FFT-derived POW,Feature,BetaH,Fz,POW.Fz.BetaH,60,0.4639005519,0.4639005519,0,30,30,480,480,481,480,480,481,11,14,c(n)*log2(n)/n; not assumed bounded 0..1
FFT-derived POW,Feature,BetaH,Fz,POW.Fz.BetaH,120,0.454065819,0.454065819,0,15,15,960,960,961,960,960,961,11,9,c(n)*log2(n)/n; not assumed bounded 0..1
FFT-derived POW,Feature,Gamma,Fz,POW.Fz.Gamma,10,0.6321928095,0.6321928095,0,181,181,80,80,81,80,80,81,10,12,c(n)*log2(n)/n; not assumed bounded 0..1
FFT-derived POW,Feature,Gamma,Fz,POW.Fz.Gamma,30,0.5271260397,0.4941806622,-0.03294537748,60,60,240,240,241,240,240,241,12,12,c(n)*log2(n)/n; not assumed bounded 0..1
FFT-derived POW,Feature,Gamma,Fz,POW.Fz.Gamma,60,0.4824565739,0.4639005519,-0.01855602207,30,30,480,480,481,480,480,481,12,13,c(n)*log2(n)/n; not assumed bounded 0..1
FFT-derived POW,Feature,Gamma,Fz,POW.Fz.Gamma,120,0.4437461413,0.4536620971,0.009915955839,15,15,960,960,961,960,960,961,8,11,c(n)*log2(n)/n; not assumed bounded 0..1
