Track,Metric_X,Metric_Y,N_Matched,Observed_Pearson_r,Bootstrap_Median_r,Bootstrap_CI_Lower,Bootstrap_CI_Upper,Confidence_Level,Block_Length_Windows,Block_Length_Seconds,Bootstrap_Iterations_Requested,Bootstrap_Iterations_Valid,Random_Seed,Resampling_Method,Band,Channel,Feature
POW_Feature_BaselineStandardisedFlux,Delta_LZC,Delta_Flux,181,0.09302985090229852,0.09058328588283707,-0.03037001969251382,0.20309052948400713,0.95,6,60.0,1000,1000,1919,circular moving-block bootstrap,Alpha,FC5,POW.FC5.Alpha
POW_Feature_BaselineStandardisedFlux,Delta_Shannon_Entropy,Delta_LZC,181,-0.1391628916086853,-0.14357122220473917,-0.3050349336248432,0.004927169897591803,0.95,6,60.0,1000,1000,1919,circular moving-block bootstrap,Alpha,FC6,POW.FC6.Alpha
POW_Feature_BaselineStandardisedFlux,Delta_Shannon_Entropy,Delta_Flux,181,0.4027921832275154,0.4076644738046626,0.23889599091261912,0.5745420650106315,0.95,6,60.0,1000,1000,1919,circular moving-block bootstrap,Alpha,FC6,POW.FC6.Alpha
POW_Feature_BaselineStandardisedFlux,Delta_LZC,Delta_Flux,181,0.14192736166369108,0.13588003317456482,-0.02229318413587116,0.2826629625852454,0.95,6,60.0,1000,1000,1919,circular moving-block bootstrap,Alpha,FC6,POW.FC6.Alpha
POW_Feature_BaselineStandardisedFlux,Delta_Shannon_Entropy,Delta_LZC,181,-0.07162721622111369,-0.07502195722350449,-0.2966751132307671,0.15328641825350628,0.95,6,60.0,1000,1000,1919,circular moving-block bootstrap,Alpha,FT10,POW.FT10.Alpha
POW_Feature_BaselineStandardisedFlux,Delta_Shannon_Entropy,Delta_Flux,181,0.5118695050046826,0.5143266208841772,0.3759857300453761,0.6277369906582416,0.95,6,60.0,1000,1000,1919,circular moving-block bootstrap,Alpha,FT10,POW.FT10.Alpha
POW_Feature_BaselineStandardisedFlux,Delta_LZC,Delta_Flux,181,0.13943975658344296,0.1340236874312159,-0.0580842582311306,0.339782617922353,0.95,6,60.0,1000,1000,1919,circular moving-block bootstrap,Alpha,FT10,POW.FT10.Alpha
POW_Feature_BaselineStandardisedFlux,Delta_Shannon_Entropy,Delta_LZC,181,-0.1079673081832873,-0.11204561374931091,-0.26328303418165244,0.047178698609598335,0.95,6,60.0,1000,1000,1919,circular moving-block bootstrap,Alpha,FT9,POW.FT9.Alpha
POW_Feature_BaselineStandardisedFlux,Delta_Shannon_Entropy,Delta_Flux,181,0.28320291746994103,0.2876262011358347,0.1798774139800889,0.3970030170591353,0.95,6,60.0,1000,1000,1919,circular moving-block bootstrap,Alpha,FT9,POW.FT9.Alpha
POW_Feature_BaselineStandardisedFlux,Delta_LZC,Delta_Flux,181,0.15759097303562852,0.15705047468999117,-0.014002380303573253,0.32267771520759514,0.95,6,60.0,1000,1000,1919,circular moving-block bootstrap,Alpha,FT9,POW.FT9.Alpha
POW_Feature_BaselineStandardisedFlux,Delta_Shannon_Entropy,Delta_LZC,181,-0.11392346456102449,-0.11828927041887644,-0.23834480013228118,0.012579073309758828,0.95,6,60.0,1000,1000,1919,circular moving-block bootstrap,Alpha,Fp1,POW.Fp1.Alpha
POW_Feature_BaselineStandardisedFlux,Delta_Shannon_Entropy,Delta_Flux,181,0.35523312760317094,0.354659655244982,0.2013873016994234,0.5136059512797855,0.95,6,60.0,1000,1000,1919,circular moving-block bootstrap,Alpha,Fp1,POW.Fp1.Alpha
POW_Feature_BaselineStandardisedFlux,Delta_LZC,Delta_Flux,181,0.1988103965026209,0.19826354346696878,0.0568732874356804,0.32822664290612624,0.95,6,60.0,1000,1000,1919,circular moving-block bootstrap,Alpha,Fp1,POW.Fp1.Alpha
POW_Feature_BaselineStandardisedFlux,Delta_Shannon_Entropy,Delta_LZC,181,-0.17142164949664399,-0.17129304904009768,-0.2940856465692318,-0.03716137121518252,0.95,6,60.0,1000,1000,1919,circular moving-block bootstrap,Alpha,Fp2,POW.Fp2.Alpha
