Scope,Dimension,Baseline_Median,Baseline_Q25,Baseline_Q75,Applied_Scale,Scale_Source,NearZero_Guard_Applied
Whole_State,BetaL.O1,1.721347,1.15666525,2.567641,1.41097575,baseline_IQR,False
Whole_State,BetaL.Pz,1.269061,0.8512284999999999,1.86742525,1.01619675,baseline_IQR,False
Whole_State,BetaL.Oz,1.8357364999999999,1.22757625,2.693476,1.46589975,baseline_IQR,False
Whole_State,BetaL.O2,2.0392175000000003,1.33944525,3.0262209999999996,1.6867757499999996,baseline_IQR,False
Whole_State,BetaL.PO10,1.885485,1.312316,2.6722995000000003,1.3599835000000002,baseline_IQR,False
Whole_State,BetaL.P8,2.7717295,1.843772,4.0265752500000005,2.1828032500000005,baseline_IQR,False
Whole_State,BetaL.P4,1.4941119999999999,0.979123,2.17457975,1.19545675,baseline_IQR,False
Whole_State,BetaL.CP2,1.179065,0.795436,1.7100890536956126,0.9146530536956126,baseline_IQR,False
Whole_State,BetaL.CP6,2.2835275,1.55390175,3.2893797499999997,1.7354779999999996,baseline_IQR,False
Whole_State,BetaL.T8,1.8583794999999999,1.255716,2.750832,1.495116,baseline_IQR,False
Whole_State,BetaL.FT10,1.3240370000000001,0.89460425,1.94544125,1.050837,baseline_IQR,False
Whole_State,BetaL.FC6,1.8044345,1.22376725,2.65840875,1.4346415,baseline_IQR,False
Whole_State,BetaL.C4,1.7776315,1.17339675,2.6069649999999998,1.4335682499999998,baseline_IQR,False
Whole_State,BetaL.FC2,1.267392422285845,0.8429575,1.88072775,1.03777025,baseline_IQR,False
Whole_State,BetaL.F4,1.7591489999999999,1.18200575,2.6182214999999998,1.4362157499999997,baseline_IQR,False
Whole_State,BetaL.F8,1.8361405,1.2202267500000001,2.64433675,1.4241099999999998,baseline_IQR,False
Whole_State,BetaL.Fp2,1.687585,1.1415967500000002,2.4885849999999996,1.3469882499999994,baseline_IQR,False
Whole_State,BetaH.Cz,2.4202339999999998,1.8459910000000002,3.21998275,1.3739917499999996,baseline_IQR,False
Whole_State,BetaH.Fz,1.2502825,0.9544055,1.66069975,0.70629425,baseline_IQR,False
Whole_State,BetaH.Fp1,1.3173534999999998,1.0126235000000001,1.7449807499999999,0.7323572499999997,baseline_IQR,False
Whole_State,BetaH.F7,1.0719805,0.80658575,1.43894025,0.6323544999999999,baseline_IQR,False
Whole_State,BetaH.F3,1.4183050000000001,1.0694379999999999,1.8794265,0.8099885000000002,baseline_IQR,False
Whole_State,BetaH.FC1,0.878682,0.667967,1.1696422499999999,0.5016752499999999,baseline_IQR,False
Whole_State,BetaH.C3,0.8979815346645246,0.67097875,1.195056,0.5240772499999999,baseline_IQR,False
Whole_State,BetaH.FC5,0.9063315000000001,0.68338425,1.22008025,0.5366960000000001,baseline_IQR,False
Whole_State,BetaH.FT9,0.535850504866025,0.404003,0.7095685,0.30556550000000005,baseline_IQR,False
Whole_State,BetaH.T7,0.555781846923812,0.4185941311870955,0.73507075,0.3164766188129045,baseline_IQR,False
Whole_State,BetaH.CP5,0.8861965,0.672269,1.1743115,0.5020425,baseline_IQR,False
Whole_State,BetaH.CP1,0.9756335,0.7210417499999999,1.30325175,0.5822100000000001,baseline_IQR,False
Whole_State,BetaH.P3,1.1903405,0.8653975,1.59298725,0.7275897499999999,baseline_IQR,False
Whole_State,BetaH.P7,0.5255004999999999,0.397289,0.69088325,0.29359424999999995,baseline_IQR,False
Whole_State,BetaH.PO9,0.7010065,0.5316827500000001,0.9055225,0.3738397499999999,baseline_IQR,False
Whole_State,BetaH.O1,1.512213,1.0591075,2.0599555,1.000848,baseline_IQR,False
Whole_State,BetaH.Pz,1.0573890000000001,0.7785875,1.41134775,0.63276025,baseline_IQR,False
Whole_State,BetaH.Oz,1.6180205,1.1447797499999999,2.217963,1.0731832500000003,baseline_IQR,False
Whole_State,BetaH.O2,1.848736,1.2983485,2.619745,1.3213965,baseline_IQR,False
Whole_State,BetaH.PO10,1.579609,1.173951,2.0671305,0.8931795000000002,baseline_IQR,False
Whole_State,BetaH.P8,2.3095285,1.6388781136647375,3.1545560000000004,1.515677886335263,baseline_IQR,False
Whole_State,BetaH.P4,1.2447650000000001,0.9018065,1.7028385,0.801032,baseline_IQR,False
Whole_State,BetaH.CP2,0.976116,0.72236875,1.304782,0.5824132500000001,baseline_IQR,False
Whole_State,BetaH.CP6,1.9191535000000002,1.4300225,2.5915927500000002,1.1615702500000002,baseline_IQR,False
Whole_State,BetaH.T8,1.389751,1.0591992499999998,1.83657875,0.7773795000000001,baseline_IQR,False
Whole_State,BetaH.FT10,0.9423919999999999,0.7202215000000001,1.24397,0.5237485,baseline_IQR,False
Whole_State,BetaH.FC6,1.45627,1.1109537500000002,1.9064017500000001,0.7954479999999999,baseline_IQR,False
Whole_State,BetaH.C4,1.4586009999999998,1.081173,1.96755075,0.8863777500000001,baseline_IQR,False
Whole_State,BetaH.FC2,1.0355815,0.78599575,1.372773,0.58677725,baseline_IQR,False
