Track,N_Matched,Matched_Progress_Min,Matched_Progress_Max,Baseline_Observed_Progress_Min,Baseline_Observed_Progress_Max,Modulation_Observed_Progress_Min,Modulation_Observed_Progress_Max,Baseline_Flux_Source,Modulation_Flux_Source,Direct_Window_Positions_Identical,Interpolation_Required,DeltaEntropy_Mean,DeltaEntropy_Median,DeltaEntropy_Q25,DeltaEntropy_Q75,DeltaLZC_Mean,DeltaLZC_Median,DeltaLZC_Q25,DeltaLZC_Q75,DeltaFlux_Mean,DeltaFlux_Median,DeltaFlux_Q25,DeltaFlux_Q75,Corr_DeltaEntropy_DeltaLZC,Corr_DeltaEntropy_DeltaFlux,Corr_DeltaLZC_DeltaFlux,N_Hplus_LZCminus_Fluxplus,N_Hplus_LZCminus_Fluxminus,Pct_Hplus_LZCminus,N_H-_LZC-_Flux-,N_H-_LZC-_Flux+,N_H-_LZC+_Flux-,N_H-_LZC+_Flux+,N_H+_LZC-_Flux-,N_H+_LZC-_Flux+,N_H+_LZC+_Flux-,N_H+_LZC+_Flux+,Band,Channel,Feature
POW_Feature,181,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_Native,Script18_Regionalised_L2_Native,True,False,-0.17092927153756957,-0.20098791900000057,-0.6972942480000004,0.3177376479999845,0.013509508555248257,0.0,-0.0790241012000017,0.07902410120000164,-5.099788631830462,-4.734754845060504,-10.34247803699239,-0.2718717021076813,-0.0994395476400104,0.714252313007835,0.13950037861383924,15,20,19.337016574585636,36,2,47,5,20,15,10,18,Alpha,O1,POW.O1.Alpha
POW_Feature,181,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_Native,Script18_Regionalised_L2_Native,True,False,-0.19528327830607786,-0.26244006699999733,-0.7552627469999997,0.2626541809999998,0.00870693886961314,0.0,-0.07902410120000003,0.07902410120000003,-5.099788631830462,-4.734754845060504,-10.34247803699239,-0.2718717021076813,-0.034898190047446785,0.7059634824083084,0.1602321344583064,14,17,17.12707182320442,39,3,42,5,17,14,18,19,Alpha,O2,POW.O2.Alpha
POW_Feature,181,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_Native,Script18_Regionalised_L2_Native,True,False,-0.15036228272762478,-0.2326647260000163,-0.7211666050000005,0.35253165499999994,0.018748675486187572,0.0,-0.07902410120000003,0.15653950619999998,-5.099788631830462,-4.734754845060504,-10.34247803699239,-0.2718717021076813,-0.1305883807537613,0.7133319717907998,0.1689502068571366,15,20,19.337016574585636,34,2,47,4,20,15,12,19,Alpha,Oz,POW.Oz.Alpha
POW_Feature,181,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_Native,Script18_Regionalised_L2_Native,True,False,-0.4589353314397795,-0.5432221180000005,-1.0513971159999995,0.2515538460000002,0.013958608805524547,0.0,-0.07902410120000003,0.15804820229999997,-5.099788631830462,-4.734754845060504,-10.34247803699239,-0.2718717021076813,-0.12254089448258668,0.719982008759322,0.10272612993596626,13,15,15.469613259668508,49,3,51,8,15,13,4,16,Alpha,P3,POW.P3.Alpha
POW_Feature,181,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_Native,Script18_Regionalised_L2_Native,True,False,-0.20555226642541458,-0.3199757479999996,-0.7298088310000104,0.35144419299999985,0.018777849166298072,0.0,-0.07902410120000003,0.07902410120000003,-5.099788631830462,-4.734754845060504,-10.34247803699239,-0.2718717021076813,-0.18573901606529822,0.760863882445218,0.07547750915011013,14,11,13.812154696132596,36,1,55,7,11,14,6,15,Alpha,P4,POW.P4.Alpha
POW_Feature,181,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_Native,Script18_Regionalised_L2_Native,True,False,-1.1809558051464093,-1.1236029249999997,-1.791218512,-0.6292787180000037,0.01657819227182297,0.0,-0.07902410120000003,0.15804820239999695,-5.099788631830462,-4.734754845060504,-10.34247803699239,-0.2718717021076813,-0.15676288358897936,0.5855910831741294,0.11759431955911269,8,2,5.524861878453039,50,7,60,20,2,8,0,4,Alpha,P7,POW.P7.Alpha
POW_Feature,181,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_Native,Script18_Regionalised_L2_Native,True,False,-0.8616246300552484,-0.8796726400000003,-1.305796678,-0.4624214809999998,0.04013360511381192,0.07902410119999681,-0.07902410120000003,0.1580482024,-5.099788631830462,-4.734754845060504,-10.34247803699239,-0.2718717021076813,-0.010340062583764369,0.5338550542068842,0.26552319692048415,5,1,3.314917127071823,46,8,62,20,1,5,2,9,Alpha,P8,POW.P8.Alpha
POW_Feature,181,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_Native,Script18_Regionalised_L2_Native,True,False,-0.5948428839348067,-0.5952863620000004,-0.957437207999996,-0.27350192299999954,0.029659438921546745,0.07902410119999687,-0.07902410120000003,0.1580482024,-5.099788631830462,-4.734754845060504,-10.34247803699239,-0.2718717021076813,-0.10295094197364349,0.5012562718372245,0.2342963399820546,6,5,6.077348066298343,51,6,62,20,5,6,1,9,Alpha,PO10,POW.PO10.Alpha
POW_Feature,181,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_Native,Script18_Regionalised_L2_Native,True,False,-0.8331325600068513,-0.8817150379999998,-1.2632331260000003,-0.4767370689999999,0.02792555295248609,0.0030173921999999687,-0.07902410119999997,0.1580482024,-5.099788631830462,-4.734754845060504,-10.34247803699239,-0.2718717021076813,-0.09799210714277942,0.587071679622738,0.13908656095281424,5,3,4.419889502762431,46,10,67,15,3,5,1,10,Alpha,PO9,POW.PO9.Alpha
POW_Feature,181,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_Native,Script18_Regionalised_L2_Native,True,False,-0.420774017181216,-0.4428840500000062,-0.9585705649999845,0.15970917300000043,0.021380761955248292,0.0,-0.07902410120000003,0.15804820239999212,-5.099788631830462,-4.734754845060504,-10.34247803699239,-0.2718717021076813,-0.18992726153050218,0.7151335672242645,0.10816761871557513,16,12,15.469613259668508,41,1,56,7,12,16,4,17,Alpha,Pz,POW.Pz.Alpha
POW_Feature,181,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_Native,Script18_Regionalised_L2_Native,True,False,-1.1592464211497242,-1.1046900940000075,-1.5531365959999972,-0.7011542540000235,0.0030436777055248615,0.0,-0.07902410120000003,0.07902410120000081,-5.099788631830462,-4.734754845060504,-10.34247803699239,-0.2718717021076813,-0.0706833817830194,0.5457432186118053,0.07928770667898805,3,0,1.6574585635359116,56,15,56,25,0,3,0,1,Alpha,T7,POW.T7.Alpha
POW_Feature,181,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_Native,Script18_Regionalised_L2_Native,True,False,-0.46864842726574574,-0.480518585,-0.781207771,-0.10176480199999993,-0.0034886102834254537,0.0,-0.07902410120000003,0.07902410120000003,-5.099788631830462,-4.734754845060504,-10.34247803699239,-0.2718717021076813,-0.16781563773782435,0.4578870012163243,0.0005431932573092066,6,10,8.839779005524862,50,10,51,15,10,6,3,9,Alpha,T8,POW.T8.Alpha
