Track,Matched_Index,Progress_0_to_1,Baseline_Shannon_Entropy,Modulation_Shannon_Entropy,Delta_Shannon_Entropy_ModMinusBase,Baseline_Lempel_Ziv_Complexity,Modulation_Lempel_Ziv_Complexity,Delta_Lempel_Ziv_Complexity_ModMinusBase,Baseline_RegionalFlux_L2_per_s,Modulation_RegionalFlux_L2_per_s,Delta_RegionalFlux_L2_ModMinusBase,Matched_Progress_Min,Matched_Progress_Max,Baseline_Observed_Progress_Min,Baseline_Observed_Progress_Max,Modulation_Observed_Progress_Min,Modulation_Observed_Progress_Max,Baseline_Flux_Source,Modulation_Flux_Source,Direct_Window_Positions_Identical,Interpolation_Required,Band,Channel,Feature
POW_Feature,29,0.16111111111111112,3.549790885,2.194019624,-1.3557712610000001,0.5531687083,0.7112169107,0.15804820240000006,14.930521593870074,18.41143013736606,3.480908543495987,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_Native,Script18_Regionalised_L2_Native,True,False,Alpha,C3,POW.C3.Alpha
POW_Feature,30,0.16666666666666669,3.3040429930000017,2.350599834000003,-0.9534431589999985,0.7112169106999996,0.5531687082999995,-0.15804820240000006,15.86907000041226,16.43925303180103,0.5701830313887708,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_Native,Script18_Regionalised_L2_Native,True,False,Alpha,C3,POW.C3.Alpha
POW_Feature,31,0.17222222222222222,3.66568403,2.959604455,-0.706079575,0.6321928095,0.4741446071,-0.1580482024,16.038770559719104,12.635752953621068,-3.403017606098036,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_Native,Script18_Regionalised_L2_Native,True,False,Alpha,C3,POW.C3.Alpha
POW_Feature,32,0.17777777777777778,4.037448884,2.98274083,-1.0547080539999998,0.4741446071,0.7112169107,0.23707230360000003,21.779693814745436,15.601491680897297,-6.1782021338481385,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_Native,Script18_Regionalised_L2_Native,True,False,Alpha,C3,POW.C3.Alpha
POW_Feature,33,0.18333333333333335,3.229097596000002,2.192441145000001,-1.0366564510000011,0.6321928094999992,0.4741446071000008,-0.15804820239999845,14.544061335726873,12.645907371505189,-1.8981539642216845,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_Native,Script18_Regionalised_L2_Native,True,False,Alpha,C3,POW.C3.Alpha
POW_Feature,34,0.18888888888888888,3.683510118,2.364701346,-1.3188087720000001,0.4741446071,0.6321928095,0.1580482024,18.92518827627771,10.5164078334033,-8.40878044287441,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_Native,Script18_Regionalised_L2_Native,True,False,Alpha,C3,POW.C3.Alpha
POW_Feature,35,0.19444444444444445,3.473152881,2.898749066,-0.5744038149999997,0.7112169107,0.5531687083,-0.15804820240000006,16.630623746828263,24.76317842066748,8.132554673839216,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_Native,Script18_Regionalised_L2_Native,True,False,Alpha,C3,POW.C3.Alpha
POW_Feature,36,0.2,3.517423162,2.723152881,-0.7942702810000002,0.4741446071,0.5531687083,0.07902410119999997,25.83176021013991,15.205990398287568,-10.625769811852344,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_Native,Script18_Regionalised_L2_Native,True,False,Alpha,C3,POW.C3.Alpha
POW_Feature,37,0.20555555555555557,3.4542288730000004,2.7037571809999976,-0.7504716920000027,0.5531687082999995,0.6321928095000012,0.0790241012000017,14.444087380147652,14.120770843440447,-0.32331653670720506,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_Native,Script18_Regionalised_L2_Native,True,False,Alpha,C3,POW.C3.Alpha
POW_Feature,38,0.2111111111111111,3.557709187,2.247108248,-1.310600939,0.4741446071,0.869265113,0.3951205059,12.596597576878679,14.819668881097485,2.2230713042188057,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_Native,Script18_Regionalised_L2_Native,True,False,Alpha,C3,POW.C3.Alpha
POW_Feature,39,0.21666666666666667,3.835031727,2.128135606,-1.7068961210000002,0.4741446071,0.6321928095,0.1580482024,18.467166006321058,9.501410117788199,-8.96575588853286,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_Native,Script18_Regionalised_L2_Native,True,False,Alpha,C3,POW.C3.Alpha
