Source_File,Dataset,Metric,Band,Envelope_Band,N_Edges,Mean,Median,SD,Min,P10,P25,P75,P90,Max,Mean_Baseline,Mean_Modulation,Mean_Delta,Median_Delta,Mean_Abs_Delta,Max_Abs_Delta
BASELINE_EC__RawEEG_Spectral_State_Dynamics_Summary.csv,BASELINE_EC,Raw EEG Phase-Locking Value,BetaH,,496,0.5029789930721594,0.5178707798104052,0.2255064194119274,0.0214912025023823,0.1927389070111292,0.3086576935694083,0.6771553044774749,0.8136602639428929,0.9514347713021128,,,,,,
BASELINE_EC__RawEEG_Spectral_State_Dynamics_Summary.csv,BASELINE_EC,Raw EEG Phase-Locking Value,BetaL,,496,0.5316699721592447,0.5412719770527558,0.2270299738788156,0.006838285401723,0.2181671856158375,0.3561382534198994,0.7107398874216727,0.8333691424472243,0.9492378745122706,,,,,,
BASELINE_EC__RawEEG_Spectral_State_Dynamics_Summary.csv,BASELINE_EC,Raw EEG Phase-Locking Value,Gamma,,496,0.4167411907184316,0.4107717244008132,0.1601414300126311,0.0854531912015965,0.2079101967612658,0.2982389845151922,0.5367320016455692,0.6318888891047915,0.7886336035560779,,,,,,
BASELINE_EC__RawEEG_Spectral_State_Dynamics_Summary.csv,BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,496,0.5708677544854956,0.5865055317559553,0.2003002244890066,0.0295241496843452,0.294676873379135,0.4339802279135786,0.7276468423893524,0.8358812127402044,0.9531704234560454,,,,,,
MODULATION_DATASET_minus_BASELINE_EC__coherence_Summary.csv,,Raw EEG Band-Limited Coherence Change,Alpha,,496,,,,,,,,,,0.4185382523397904,0.3590091379096987,-0.0595291144300917,-0.0501427783520051,0.121049150634864,0.5596017208242882
MODULATION_DATASET_minus_BASELINE_EC__coherence_Summary.csv,,Raw EEG Band-Limited Coherence Change,BetaH,,496,,,,,,,,,,0.3906866594180486,0.2501577504546666,-0.140528908963382,-0.1328029435837959,0.1530366614363771,0.4558268847968565
MODULATION_DATASET_minus_BASELINE_EC__coherence_Summary.csv,,Raw EEG Band-Limited Coherence Change,BetaL,,496,,,,,,,,,,0.4460311325681113,0.2791028198151151,-0.1669283127529961,-0.1707059655043098,0.1849217095111809,0.4833115450722291
MODULATION_DATASET_minus_BASELINE_EC__coherence_Summary.csv,,Raw EEG Band-Limited Coherence Change,Gamma,,496,,,,,,,,,,0.2632467195748682,0.1142843182713783,-0.1489624013034898,-0.1441578176549924,0.1497024080064314,0.3503419525689467
MODULATION_DATASET_minus_BASELINE_EC__coherence_Summary.csv,,Raw EEG Band-Limited Coherence Change,Theta,,496,,,,,,,,,,0.4642356742234206,0.2893127888226309,-0.1749228854007897,-0.1835652100548249,0.1853340675145225,0.4248501710268532
MODULATION_DATASET_minus_BASELINE_EC__plv_Summary.csv,,Raw EEG Phase-Locking Value Change,Alpha,,496,,,,,,,,,,0.5088748340399815,0.4464569037117781,-0.0624179303282033,-0.0700910468660609,0.1413573951700201,0.5917284782202861
