Track,Matched_Index,Progress_0_to_1,Baseline_Shannon_Entropy,Modulation_Shannon_Entropy,Delta_Shannon_Entropy_ModMinusBase,Baseline_Lempel_Ziv_Complexity,Modulation_Lempel_Ziv_Complexity,Delta_Lempel_Ziv_Complexity_ModMinusBase,Baseline_RegionalFlux_L2_per_s,Modulation_RegionalFlux_L2_per_s,Delta_RegionalFlux_L2_ModMinusBase,Matched_Progress_Min,Matched_Progress_Max,Baseline_Observed_Progress_Min,Baseline_Observed_Progress_Max,Modulation_Observed_Progress_Min,Modulation_Observed_Progress_Max,Baseline_Flux_Source,Modulation_Flux_Source,Direct_Window_Positions_Identical,Interpolation_Required,Channel
RAW_Channel_BaselineStandardisedFlux,65,0.3611111111111111,1.17132257,1.01936245,-0.15196012000000003,0.5130248668,0.4953343542,-0.01769051260000004,9.105603001485424,6.137560842630407,-2.9680421588550168,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_BaselineStandardised,Script18_Regionalised_L2_BaselineStandardised,True,False,CP2
RAW_Channel_BaselineStandardisedFlux,66,0.3666666666666667,1.128857491999999,0.9901925372000329,-0.1386649547999661,0.45995332890000057,0.5439832638999956,0.08402993499999506,9.20521442925498,6.985537753938239,-2.219676675316741,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_BaselineStandardised,Script18_Regionalised_L2_BaselineStandardised,True,False,CP2
RAW_Channel_BaselineStandardisedFlux,67,0.37222222222222223,1.027214231,4.281068653,3.253854422,0.5130248668,0.1061430759,-0.40688179090000004,7.502574307588851,7.1577854403281105,-0.34478886726074087,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_BaselineStandardised,Script18_Regionalised_L2_BaselineStandardised,True,False,CP2
RAW_Channel_BaselineStandardisedFlux,68,0.37777777777777777,1.281722497,1.147250996,-0.13447150100000016,0.4732212133,0.3405423685,-0.13267884479999997,10.503722652976768,7.078727209178732,-3.4249954437980357,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_BaselineStandardised,Script18_Regionalised_L2_BaselineStandardised,True,False,CP2
RAW_Channel_BaselineStandardisedFlux,69,0.38333333333333336,1.108987528,0.9953095872,-0.11367794079999993,0.5086022386,0.4332698831,-0.0753323555,10.288606514162286,7.2071780477499665,-3.0814284664123193,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_BaselineStandardised,Script18_Regionalised_L2_BaselineStandardised,True,False,CP2
RAW_Channel_BaselineStandardisedFlux,70,0.3888888888888889,1.127354605,1.072696335,-0.05465827000000001,0.4730599744,0.4776438415,0.004583867099999972,9.102528756145954,7.152837721266241,-1.949691034879713,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_BaselineStandardised,Script18_Regionalised_L2_BaselineStandardised,True,False,CP2
RAW_Channel_BaselineStandardisedFlux,71,0.3944444444444445,1.2042154789999997,0.9857546022000002,-0.21846087679999948,0.5130248667999991,0.5395606357999997,0.026535769000000542,9.997202688388588,7.350412732059949,-2.6467899563286394,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_BaselineStandardised,Script18_Regionalised_L2_BaselineStandardised,True,False,CP2
RAW_Channel_BaselineStandardisedFlux,72,0.4,1.192144284,1.011308346,-0.18083593799999997,0.4245723036,0.5041796105,0.07960730690000006,8.40225329295712,5.903747810193579,-2.498505482763541,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_BaselineStandardised,Script18_Regionalised_L2_BaselineStandardised,True,False,CP2
RAW_Channel_BaselineStandardisedFlux,73,0.40555555555555556,1.035703479,0.9979956295,-0.037707849499999946,0.5351380076,0.4599533289,-0.07518467869999995,7.121087251769027,5.306794173243745,-1.8142930785252824,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_BaselineStandardised,Script18_Regionalised_L2_BaselineStandardised,True,False,CP2
RAW_Channel_BaselineStandardisedFlux,74,0.41111111111111115,1.037141344,1.0230875029999997,-0.014053841000000178,0.5084289445000002,0.499586702,-0.008842242500000208,9.22764765048375,7.099223360410468,-2.1284242900732817,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_BaselineStandardised,Script18_Regionalised_L2_BaselineStandardised,True,False,CP2
RAW_Channel_BaselineStandardisedFlux,75,0.4166666666666667,1.032835033,1.002265498,-0.030569534999999926,0.5307153794,0.4997569823,-0.030958397100000035,7.866286690119686,6.4160783229879375,-1.450208367131749,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_BaselineStandardised,Script18_Regionalised_L2_BaselineStandardised,True,False,CP2
RAW_Channel_BaselineStandardisedFlux,76,0.4222222222222222,1.028694639,0.9998793679,-0.02881527110000004,0.4997569823,0.5395606358,0.039803653500000036,8.473808994805063,7.542146161779737,-0.9316628330253263,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_BaselineStandardised,Script18_Regionalised_L2_BaselineStandardised,True,False,CP2
RAW_Channel_BaselineStandardisedFlux,77,0.4277777777777778,1.9922312419999924,1.0498784919999997,-0.9423527499999926,0.31400659950000126,0.49975698229999965,0.1857503827999984,9.75965001880603,7.0251408384181895,-2.73450918038784,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_BaselineStandardised,Script18_Regionalised_L2_BaselineStandardised,True,False,CP2
RAW_Channel_BaselineStandardisedFlux,78,0.43333333333333335,1.245004075,1.02754137,-0.21746270499999998,0.4422628162,0.4642177319,0.021954915699999966,11.059895470858631,6.82415103337784,-4.2357444374807915,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_BaselineStandardised,Script18_Regionalised_L2_BaselineStandardised,True,False,CP2
RAW_Channel_BaselineStandardisedFlux,79,0.4388888888888889,1.039011675,1.051228819,0.012217144000000069,0.4997569823,0.4953343542,-0.004422628099999992,7.292042692113366,6.947490768241458,-0.3445519238719079,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_BaselineStandardised,Script18_Regionalised_L2_BaselineStandardised,True,False,CP2
RAW_Channel_BaselineStandardisedFlux,80,0.4444444444444445,1.12944828,1.0671472050000002,-0.06230107499999993,0.44211212560000085,0.45553070069999996,0.013418575099999108,8.180159250478402,8.45165133911681,0.2714920886384071,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_BaselineStandardised,Script18_Regionalised_L2_BaselineStandardised,True,False,CP2
RAW_Channel_BaselineStandardisedFlux,81,0.45,1.120944781,1.085976076,-0.034968705000000044,0.5262927513,0.4511080725,-0.07518467879999996,9.931871967720685,7.408184804575284,-2.523687163145401,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_BaselineStandardised,Script18_Regionalised_L2_BaselineStandardised,True,False,CP2
RAW_Channel_BaselineStandardisedFlux,82,0.45555555555555555,1.136747242,1.008266656,-0.128480586,0.5307153794,0.5086022386,-0.022113140800000042,11.530792637984433,6.130970679372461,-5.399821958611972,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_BaselineStandardised,Script18_Regionalised_L2_BaselineStandardised,True,False,CP2
RAW_Channel_BaselineStandardisedFlux,83,0.46111111111111114,1.472767553,0.9985184057,-0.4742491473,0.3936139064,0.4953343542,0.1017204478,10.871547187869076,6.166740116198031,-4.704807071671046,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_BaselineStandardised,Script18_Regionalised_L2_BaselineStandardised,True,False,CP2
