Track,N_Matched,Matched_Progress_Min,Matched_Progress_Max,Baseline_Observed_Progress_Min,Baseline_Observed_Progress_Max,Modulation_Observed_Progress_Min,Modulation_Observed_Progress_Max,Baseline_Flux_Source,Modulation_Flux_Source,Direct_Window_Positions_Identical,Interpolation_Required,DeltaEntropy_Mean,DeltaEntropy_Median,DeltaEntropy_Q25,DeltaEntropy_Q75,DeltaLZC_Mean,DeltaLZC_Median,DeltaLZC_Q25,DeltaLZC_Q75,DeltaFlux_Mean,DeltaFlux_Median,DeltaFlux_Q25,DeltaFlux_Q75,Corr_DeltaEntropy_DeltaLZC,Corr_DeltaEntropy_DeltaFlux,Corr_DeltaLZC_DeltaFlux,N_Hplus_LZCminus_Fluxplus,N_Hplus_LZCminus_Fluxminus,Pct_Hplus_LZCminus,N_H-_LZC-_Flux-,N_H-_LZC-_Flux+,N_H-_LZC+_Flux-,N_H-_LZC+_Flux+,N_H+_LZC-_Flux-,N_H+_LZC-_Flux+,N_H+_LZC+_Flux-,N_H+_LZC+_Flux+,Channel
RAW_Channel_BaselineStandardisedFlux,181,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_BaselineStandardised,Script18_Regionalised_L2_BaselineStandardised,True,False,-0.15279987137182305,-0.17689910900000005,-0.36468465699999997,0.07437278000000003,-0.00021953504265197462,0.004422628199999945,-0.04864890979999986,0.05747457629999997,-2.1543862699997556,-2.06020293314394,-3.334312054245281,-0.9316628330253263,-0.7002937626701122,0.28859323362708356,-0.02050861652702177,8,37,24.861878453038674,32,3,84,6,37,8,7,2,F8
RAW_Channel_BaselineStandardisedFlux,181,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_BaselineStandardised,Script18_Regionalised_L2_BaselineStandardised,True,False,-0.2789001855143652,-0.16959672799999992,-0.3828194659999993,-0.013382000000001781,0.036942429794861974,0.026535768999999987,-0.017690512599999986,0.09270039030000005,-2.1543862699997556,-2.06020293314394,-3.334312054245281,-0.9316628330253263,-0.6535955176384003,0.21456764579559873,0.10057899803255498,4,21,13.812154696132596,33,3,94,7,21,4,14,5,FC1
RAW_Channel_BaselineStandardisedFlux,181,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_BaselineStandardised,Script18_Regionalised_L2_BaselineStandardised,True,False,-0.012156386557458402,0.04649579899999989,-0.17535950599999994,0.23382434799999863,0.03843318687220993,0.03538102529999998,-0.022113140800000042,0.10155167430000062,-2.1543862699997556,-2.06020293314394,-3.334312054245281,-0.9316628330253263,-0.7030728706129719,0.16018045783774637,0.11360624308205064,5,45,27.624309392265193,10,0,59,7,45,5,47,7,FC2
RAW_Channel_BaselineStandardisedFlux,181,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_BaselineStandardised,Script18_Regionalised_L2_BaselineStandardised,True,False,-0.40759708537182343,-0.41826715000000014,-0.639649632,-0.17976408619999995,0.021794452800442038,0.0178366824999987,-0.03112566360000002,0.07518467870000001,-2.1543862699997556,-2.06020293314394,-3.334312054245281,-0.9316628330253263,-0.8047550214404671,0.14774130474353195,0.1108020453374188,3,27,16.574585635359117,34,5,98,10,27,3,1,1,FC5
RAW_Channel_BaselineStandardisedFlux,181,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_BaselineStandardised,Script18_Regionalised_L2_BaselineStandardised,True,False,-0.32260086599834253,-0.2077466912000001,-0.4607805779999957,-0.09530622300000124,0.06157053315911601,0.05307153800000003,0.004422628099999992,0.11498833220000004,-2.1543862699997556,-2.06020293314394,-3.334312054245281,-0.9316628330253263,-0.710761079757252,0.13363950886735,0.09845519630150969,3,8,6.077348066298343,29,2,120,9,8,3,4,5,FC6
RAW_Channel_BaselineStandardisedFlux,181,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_BaselineStandardised,Script18_Regionalised_L2_BaselineStandardised,True,False,-0.17709992019778986,-0.16861053100000012,-0.3984244219999973,0.10426387699999995,0.018910593019005495,0.017684485070000006,-0.04422628159999997,0.07518467870000001,-2.1543862699997556,-2.06020293314394,-3.334312054245281,-0.9316628330253263,-0.7513474702044904,0.2433701733655468,-0.010972036681769028,7,41,26.519337016574585,22,3,85,7,41,7,10,2,FT10
RAW_Channel_BaselineStandardisedFlux,181,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_BaselineStandardised,Script18_Regionalised_L2_BaselineStandardised,True,False,-0.1474370855845303,-0.1561856450000001,-0.36578164550000003,0.053505504500000134,0.01617527952972376,0.017690512599999986,-0.035381025300000146,0.07960730690000001,-2.1543862699997556,-2.06020293314394,-3.334312054245281,-0.9316628330253263,-0.7382349264070363,0.07098377474804365,0.06123820678884799,6,34,22.099447513812155,25,4,88,6,34,6,15,3,FT9
RAW_Channel_BaselineStandardisedFlux,181,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_BaselineStandardised,Script18_Regionalised_L2_BaselineStandardised,True,False,-0.29164713874254095,-0.19277918000000005,-0.5637304890000001,-0.03282796599999971,0.04383246710999989,0.04422628159999997,-0.008845256299999993,0.10185606920000001,-2.1543862699997556,-2.06020293314394,-3.334312054245281,-0.9316628330253263,-0.7110419055686582,0.16752539342694833,0.04905710247646943,7,22,16.022099447513813,21,3,108,8,22,7,9,1,Fp1
RAW_Channel_BaselineStandardisedFlux,181,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_BaselineStandardised,Script18_Regionalised_L2_BaselineStandardised,True,False,-0.2413544436795579,-0.1788046219999999,-0.44041283900000017,-0.0001745189999999841,0.03085907766325969,0.022113140800000042,-0.013267884400000152,0.07960730690000001,-2.1543862699997556,-2.06020293314394,-3.334312054245281,-0.9316628330253263,-0.576566762727544,0.3413572780889978,0.03216908219241419,4,25,16.022099447513813,27,3,96,7,25,4,11,4,Fp2
RAW_Channel_BaselineStandardisedFlux,181,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_BaselineStandardised,Script18_Regionalised_L2_BaselineStandardised,True,False,-0.14231233006187832,-0.09171676499999992,-0.262611444,0.05950779300000009,0.01683416772193369,0.013418575099999996,-0.022113140799998987,0.04864890979999903,-2.1543862699997556,-2.06020293314394,-3.334312054245281,-0.9316628330253263,-0.6774761731231771,0.3557586450169939,0.01819931395722358,9,36,24.861878453038674,30,0,85,5,36,9,10,5,Fz
